,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
1006,Decision - Split,3,15:00,L,Rafael Dos Anjos,0,25 of 96,26%,39 of 110,0 of 8,0%,0,0,2:01,13 of 77,6 of 9,6 of 10,18 of 85,7 of 11,0 of 0,W,Gleison Tibau,0,56 of 128,43%,64 of 136,2 of 4,50%,0,0,1:43,45 of 117,10 of 10,1 of 1,53 of 123,3 of 4,0 of 1
1007,KO/TKO,1,0:59,W,Rafael Dos Anjos,1,2 of 10,20%,2 of 10,0 of 0,---,0,0,0:03,1 of 8,0 of 0,1 of 2,2 of 10,0 of 0,0 of 0,L,George Sotiropoulos,0,2 of 24,8%,2 of 24,0 of 0,---,0,0,0:00,0 of 18,1 of 3,1 of 3,2 of 24,0 of 0,0 of 0
1008,Submission,3,11:51,L,Rafael Dos Anjos,0,17 of 64,26%,29 of 76,1 of 4,25%,0,0,0:51,11 of 51,3 of 5,3 of 8,13 of 60,3 of 3,1 of 1,W,Clay Guida,0,19 of 90,21%,47 of 123,2 of 6,33%,0,0,4:31,10 of 80,3 of 4,6 of 6,11 of 79,4 of 5,4 of 6
1009,Submission,2,9:30,W,Rafael Dos Anjos,0,25 of 45,55%,45 of 69,2 of 3,66%,1,0,5:37,16 of 34,3 of 3,6 of 8,2 of 17,5 of 5,18 of 23,L,Terry Etim,0,7 of 20,35%,11 of 25,0 of 0,---,1,0,1:29,3 of 12,0 of 2,4 of 6,6 of 18,1 of 1,0 of 1
1010,Decision - Unanimous,3,15:00,W,Rafael Dos Anjos,0,42 of 112,37%,99 of 183,5 of 8,62%,2,0,8:17,37 of 100,1 of 2,4 of 10,15 of 58,2 of 2,25 of 52,L,Kyle Bradley,0,21 of 53,39%,31 of 64,0 of 0,---,0,0,0:24,4 of 33,9 of 11,8 of 9,19 of 49,2 of 3,0 of 1
1011,Decision - Unanimous,3,15:00,W,Rafael Dos Anjos,0,52 of 165,31%,85 of 201,2 of 12,16%,0,0,4:18,21 of 125,3 of 8,28 of 32,43 of 137,4 of 10,5 of 18,L,Rob Emerson,0,27 of 172,15%,34 of 181,0 of 1,0%,0,0,0:20,16 of 156,1 of 5,10 of 11,23 of 162,3 of 7,1 of 3
1012,Decision - Unanimous,3,15:00,L,Rafael Dos Anjos,0,26 of 134,19%,29 of 137,0 of 1,0%,3,1,0:05,18 of 120,4 of 8,4 of 6,23 of 126,3 of 8,0 of 0,W,Tyson Griffin,0,69 of 213,32%,101 of 245,1 of 4,25%,0,0,2:51,40 of 174,14 of 22,15 of 17,56 of 190,4 of 8,9 of 15
1013,KO/TKO,3,10:39,L,Rafael Dos Anjos,0,9 of 18,50%,37 of 48,4 of 6,66%,2,0,5:09,4 of 12,0 of 0,5 of 6,8 of 16,1 of 2,0 of 0,W,Jeremy Stephens,1,22 of 46,47%,33 of 60,0 of 0,---,0,2,2:22,13 of 36,5 of 6,4 of 4,9 of 26,1 of 1,12 of 19
1014,TKO - Doctor's Stoppage,3,15:00,L,Nate Diaz,0,43 of 104,41%,125 of 194,0 of 2,0%,0,0,0:44,23 of 74,12 of 21,8 of 9,33 of 91,10 of 13,0 of 0,W,Jorge Masvidal,2,112 of 179,62%,114 of 184,1 of 1,100%,0,0,6:56,78 of 136,27 of 35,7 of 8,52 of 92,20 of 25,40 of 62
1015,Decision - Unanimous,3,15:00,W,Nate Diaz,1,114 of 201,56%,205 of 306,1 of 1,100%,0,1,5:58,94 of 172,16 of 23,4 of 6,51 of 109,43 of 63,20 of 29,L,Anthony Pettis,0,69 of 133,51%,86 of 153,0 of 0,---,1,2,1:49,54 of 111,10 of 12,5 of 10,46 of 102,20 of 27,3 of 4
1016,Decision - Majority,5,25:00,L,Nate Diaz,0,166 of 343,48%,252 of 435,1 of 7,14%,0,0,5:50,107 of 256,50 of 71,9 of 16,88 of 227,77 of 112,1 of 4,W,Conor McGregor,3,164 of 286,57%,197 of 322,0 of 1,0%,0,0,1:31,98 of 212,26 of 29,40 of 45,137 of 253,27 of 32,0 of 1
1017,Submission,2,9:12,W,Nate Diaz,0,77 of 152,50%,89 of 169,1 of 1,100%,2,0,1:10,65 of 131,9 of 13,3 of 8,62 of 133,10 of 12,5 of 7,L,Conor McGregor,0,61 of 140,43%,66 of 145,0 of 1,0%,0,1,0:39,47 of 117,7 of 11,7 of 12,56 of 133,3 of 4,2 of 3
1018,Decision - Unanimous,3,15:00,W,Nate Diaz,0,153 of 300,51%,157 of 304,0 of 0,---,0,0,0:00,135 of 273,7 of 13,11 of 14,148 of 295,5 of 5,0 of 0,L,Michael Johnson,0,103 of 301,34%,104 of 303,1 of 1,100%,0,0,0:19,44 of 185,28 of 69,31 of 47,103 of 300,0 of 1,0 of 0
1019,Decision - Unanimous,3,15:00,L,Nate Diaz,0,13 of 104,12%,51 of 145,0 of 0,---,0,0,0:00,12 of 98,1 of 5,0 of 1,12 of 103,1 of 1,0 of 0,W,Rafael Dos Anjos,0,77 of 119,64%,129 of 175,2 of 2,100%,0,0,7:48,46 of 81,5 of 9,26 of 29,37 of 66,1 of 2,39 of 51
1020,KO/TKO,1,2:38,W,Nate Diaz,0,33 of 55,60%,34 of 56,0 of 1,0%,0,0,0:06,28 of 49,5 of 6,0 of 0,15 of 33,18 of 22,0 of 0,L,Gray Maynard,0,5 of 15,33%,6 of 16,1 of 2,50%,0,0,0:49,3 of 13,1 of 1,1 of 1,3 of 12,1 of 1,1 of 2
1021,KO/TKO,2,8:44,L,Nate Diaz,0,21 of 74,28%,40 of 94,1 of 1,100%,1,0,0:54,17 of 65,2 of 7,2 of 2,15 of 64,4 of 7,2 of 3,W,Josh Thomson,1,36 of 71,50%,44 of 79,1 of 1,100%,0,0,1:21,23 of 50,7 of 9,6 of 12,13 of 34,13 of 17,10 of 20
1022,Decision - Unanimous,5,25:00,L,Nate Diaz,0,30 of 83,36%,95 of 160,0 of 6,0%,2,0,0:44,8 of 55,12 of 18,10 of 10,5 of 52,25 of 31,0 of 0,W,Benson Henderson,1,124 of 198,62%,183 of 259,8 of 12,66%,0,0,17:00,63 of 126,29 of 33,32 of 39,26 of 51,31 of 37,67 of 110
1023,Submission,2,9:09,W,Nate Diaz,0,46 of 98,46%,97 of 154,0 of 1,0%,2,2,2:37,29 of 74,11 of 18,6 of 6,23 of 68,22 of 29,1 of 1,L,Jim Miller,0,25 of 71,35%,27 of 73,1 of 5,20%,0,0,1:15,11 of 51,7 of 10,7 of 10,13 of 49,12 of 22,0 of 0
1024,Decision - Unanimous,3,15:00,W,Nate Diaz,0,238 of 362,65%,260 of 391,0 of 2,0%,0,0,1:04,199 of 315,37 of 45,2 of 2,228 of 345,10 of 17,0 of 0,L,Donald Cerrone,0,96 of 182,52%,104 of 193,0 of 0,---,0,0,0:04,56 of 136,23 of 26,17 of 20,84 of 168,12 of 14,0 of 0
1025,Submission,1,4:27,W,Nate Diaz,1,36 of 73,49%,42 of 81,0 of 0,---,3,0,0:23,34 of 71,2 of 2,0 of 0,34 of 71,2 of 2,0 of 0,L,Takanori Gomi,0,4 of 23,17%,6 of 25,0 of 1,0%,0,0,0:37,1 of 16,3 of 7,0 of 0,3 of 21,0 of 0,1 of 2
1026,Decision - Unanimous,3,15:00,L,Nate Diaz,0,26 of 62,41%,72 of 112,0 of 7,0%,0,0,2:29,10 of 33,6 of 12,10 of 17,8 of 35,18 of 27,0 of 0,W,Rory MacDonald,0,42 of 99,42%,60 of 121,7 of 10,70%,0,0,5:15,22 of 66,6 of 17,14 of 16,22 of 58,6 of 19,14 of 22
1027,Decision - Unanimous,3,15:00,L,Nate Diaz,0,36 of 85,42%,81 of 138,1 of 1,100%,1,1,1:57,22 of 67,10 of 12,4 of 6,16 of 60,19 of 24,1 of 1,W,Dong Hyun Kim,0,19 of 46,41%,34 of 66,3 of 7,42%,0,1,8:18,9 of 34,1 of 1,9 of 11,13 of 31,1 of 1,5 of 14
1028,Submission,3,14:02,W,Nate Diaz,0,94 of 328,28%,122 of 358,1 of 5,20%,1,1,2:24,76 of 300,9 of 16,9 of 12,85 of 309,7 of 16,2 of 3,L,Marcus Davis,1,52 of 203,25%,61 of 213,1 of 1,100%,0,0,0:12,36 of 181,5 of 10,11 of 12,45 of 190,6 of 9,1 of 4
1029,KO/TKO,1,2:47,W,Nate Diaz,1,34 of 60,56%,54 of 84,0 of 0,---,0,0,1:14,27 of 53,2 of 2,5 of 5,14 of 35,2 of 2,18 of 23,L,Rory Markham,0,3 of 22,13%,3 of 22,0 of 0,---,0,0,0:00,1 of 19,1 of 2,1 of 1,1 of 19,2 of 3,0 of 0
1030,Decision - Split,3,15:00,L,Nate Diaz,0,70 of 251,27%,77 of 259,0 of 3,0%,0,0,0:00,49 of 214,9 of 22,12 of 15,67 of 243,3 of 8,0 of 0,W,Gray Maynard,0,41 of 142,28%,53 of 154,0 of 0,---,0,0,0:11,29 of 123,11 of 15,1 of 4,34 of 126,7 of 16,0 of 0
1031,Submission,2,7:13,W,Nate Diaz,0,21 of 73,28%,27 of 79,2 of 2,100%,2,0,1:23,13 of 62,4 of 6,4 of 5,15 of 65,6 of 8,0 of 0,L,Melvin Guillard,1,11 of 42,26%,12 of 43,3 of 3,100%,0,0,0:43,5 of 36,5 of 5,1 of 1,8 of 33,3 of 5,0 of 4
1032,Decision - Unanimous,3,15:00,L,Nate Diaz,0,6 of 29,20%,58 of 86,1 of 2,50%,4,2,2:16,4 of 26,0 of 1,2 of 2,4 of 21,1 of 5,1 of 3,W,Joe Stevenson,0,27 of 47,57%,49 of 71,8 of 14,57%,1,1,10:37,5 of 25,4 of 4,18 of 18,2 of 7,5 of 10,20 of 30
1033,Decision - Split,3,15:00,L,Nate Diaz,0,49 of 135,36%,70 of 158,0 of 8,0%,0,0,0:50,39 of 120,7 of 11,3 of 4,36 of 117,12 of 17,1 of 1,W,Clay Guida,0,49 of 99,49%,75 of 127,4 of 11,36%,1,0,8:50,15 of 59,4 of 9,30 of 31,21 of 57,19 of 29,9 of 13
1034,Decision - Split,3,15:00,W,Nate Diaz,0,40 of 72,55%,114 of 157,5 of 11,45%,0,0,7:29,21 of 47,13 of 19,6 of 6,4 of 23,21 of 27,15 of 22,L,Josh Neer,0,26 of 50,52%,48 of 74,4 of 8,50%,4,0,5:36,20 of 40,3 of 7,3 of 3,4 of 10,16 of 30,6 of 10
1035,Submission,2,8:06,W,Nate Diaz,0,6 of 17,35%,28 of 41,1 of 1,100%,1,0,1:22,0 of 10,2 of 2,4 of 5,0 of 10,5 of 6,1 of 1,L,Kurt Pellegrino,0,20 of 34,58%,35 of 50,3 of 3,100%,0,1,5:41,19 of 33,1 of 1,0 of 0,0 of 4,0 of 1,20 of 29
1036,Submission,1,3:39,W,Nate Diaz,0,3 of 8,37%,25 of 30,2 of 2,100%,2,0,2:31,3 of 8,0 of 0,0 of 0,1 of 2,0 of 0,2 of 6,L,Alvin Robinson,0,2 of 5,40%,5 of 8,0 of 0,---,2,1,0:57,2 of 5,0 of 0,0 of 0,0 of 1,0 of 0,2 of 4
1037,Submission,1,4:10,W,Nate Diaz,1,10 of 11,90%,25 of 28,1 of 3,33%,3,0,1:33,6 of 7,0 of 0,4 of 4,1 of 1,9 of 10,0 of 0,L,Junior Assuncao,0,7 of 14,50%,9 of 16,1 of 2,50%,0,1,1:59,2 of 8,3 of 4,2 of 2,2 of 5,3 of 7,2 of 2
1038,Submission,2,5:20,W,Nate Diaz,0,2 of 5,40%,56 of 60,0 of 1,0%,1,0,0:25,2 of 4,0 of 1,0 of 0,2 of 5,0 of 0,0 of 0,L,Manvel Gamburyan,0,16 of 34,47%,28 of 46,1 of 4,25%,1,0,4:15,12 of 30,0 of 0,4 of 4,1 of 3,5 of 6,10 of 25
1039,Submission,2,7:46,L,Nate Diaz,0,54 of 91,59%,83 of 123,2 of 4,50%,0,0,--,36 of 69,7 of 11,11 of 11,22 of 41,21 of 35,11 of 15,W,Hermes Franca,0,22 of 49,44%,38 of 66,0 of 2,0%,2,0,--,16 of 41,2 of 4,4 of 4,9 of 19,3 of 5,10 of 25
1040,Submission,2,7:03,W,Nate Diaz,0,24 of 57,42%,75 of 114,3 of 4,75%,2,0,--,20 of 53,0 of 0,4 of 4,6 of 16,1 of 1,17 of 40,L,Joe Hurley,0,10 of 21,47%,52 of 69,0 of 0,---,0,0,--,4 of 12,5 of 8,1 of 1,5 of 13,4 of 5,1 of 3
1041,KO/TKO,1,3:05,W,Nate Diaz,0,23 of 37,62%,40 of 59,0 of 0,---,0,1,--,23 of 37,0 of 0,0 of 0,0 of 1,0 of 0,23 of 36,L,Gilbert Rael,0,0 of 0,---,2 of 2,1 of 1,100%,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
1042,KO/TKO,1,3:23,W,Nate Diaz,0,35 of 57,61%,58 of 83,1 of 3,33%,0,0,--,35 of 57,0 of 0,0 of 0,2 of 2,0 of 0,33 of 55,L,Tony Juarez,0,3 of 12,25%,6 of 15,1 of 1,100%,0,0,--,2 of 10,1 of 2,0 of 0,0 of 6,0 of 0,3 of 6
1043,Submission,3,12:17,W,Nate Diaz,0,14 of 40,35%,60 of 96,2 of 6,33%,4,3,--,12 of 35,1 of 4,1 of 1,3 of 17,1 of 1,10 of 22,L,Alejandro Garcia,0,15 of 24,62%,41 of 53,7 of 8,87%,0,3,--,6 of 14,0 of 1,9 of 9,4 of 7,0 of 0,11 of 17
1044,Decision - Unanimous,3,15:00,W,Anthony Pettis,0,63 of 113,55%,81 of 133,0 of 1,0%,0,0,0:00,44 of 84,10 of 18,9 of 11,60 of 110,1 of 1,2 of 2,L,Donald Cerrone,0,62 of 148,41%,62 of 148,2 of 8,25%,0,0,1:46,31 of 112,18 of 22,13 of 14,59 of 143,3 of 5,0 of 0
1045,Submission,2,6:46,L,Anthony Pettis,0,22 of 45,48%,28 of 51,0 of 0,---,0,0,0:00,12 of 33,9 of 11,1 of 1,18 of 41,3 of 3,1 of 1,W,Diego Ferreira,0,25 of 53,47%,43 of 74,3 of 7,42%,1,0,3:54,18 of 43,4 of 6,3 of 4,16 of 39,3 of 4,6 of 10
1046,Decision - Unanimous,3,15:00,L,Anthony Pettis,0,69 of 133,51%,86 of 153,0 of 0,---,1,2,1:49,54 of 111,10 of 12,5 of 10,46 of 102,20 of 27,3 of 4,W,Nate Diaz,1,114 of 201,56%,205 of 306,1 of 1,100%,0,1,5:58,94 of 172,16 of 23,4 of 6,51 of 109,43 of 63,20 of 29
1047,KO/TKO,2,9:55,W,Anthony Pettis,1,32 of 55,58%,32 of 55,0 of 0,---,0,0,0:01,5 of 21,7 of 12,20 of 22,30 of 53,0 of 0,2 of 2,L,Stephen Thompson,0,47 of 107,43%,47 of 107,0 of 0,---,0,0,0:00,28 of 70,9 of 20,10 of 17,47 of 107,0 of 0,0 of 0
1048,KO/TKO,2,10:00,L,Anthony Pettis,1,45 of 99,45%,49 of 104,0 of 0,---,0,0,1:11,32 of 80,9 of 13,4 of 6,38 of 90,2 of 3,5 of 6,W,Tony Ferguson,0,114 of 194,58%,115 of 195,0 of 0,---,0,0,0:04,66 of 131,21 of 32,27 of 31,106 of 181,4 of 7,4 of 6
1049,Submission,2,5:52,W,Anthony Pettis,0,9 of 22,40%,13 of 26,0 of 0,---,2,0,1:04,3 of 13,4 of 6,2 of 3,7 of 19,1 of 1,1 of 2,L,Michael Chiesa,0,12 of 26,46%,19 of 35,2 of 6,33%,0,0,2:38,4 of 17,7 of 7,1 of 2,8 of 21,3 of 3,1 of 2
1050,KO/TKO,3,12:08,L,Anthony Pettis,0,34 of 54,62%,46 of 66,1 of 1,100%,4,2,1:36,29 of 45,3 of 7,2 of 2,23 of 43,1 of 1,10 of 10,W,Dustin Poirier,0,53 of 100,53%,71 of 119,5 of 6,83%,0,0,6:51,47 of 92,5 of 6,1 of 2,25 of 62,8 of 10,20 of 28
1051,Decision - Unanimous,3,15:00,W,Anthony Pettis,0,80 of 121,66%,107 of 150,1 of 2,50%,0,0,3:37,49 of 85,27 of 32,4 of 4,63 of 99,8 of 9,9 of 13,L,Jim Miller,0,48 of 110,43%,51 of 113,1 of 4,25%,0,0,1:50,13 of 65,15 of 23,20 of 22,33 of 84,11 of 15,4 of 11
1052,KO/TKO,3,14:50,L,Anthony Pettis,0,53 of 158,33%,55 of 160,0 of 2,0%,0,0,1:24,25 of 100,17 of 44,11 of 14,53 of 156,0 of 2,0 of 0,W,Max Holloway,1,94 of 208,45%,98 of 212,2 of 2,100%,0,0,0:36,48 of 143,29 of 41,17 of 24,76 of 188,16 of 18,2 of 2
1053,Submission,3,11:49,W,Anthony Pettis,0,53 of 87,60%,77 of 114,0 of 0,---,1,5,3:11,41 of 67,12 of 20,0 of 0,35 of 53,0 of 1,18 of 33,L,Charles Oliveira,0,41 of 86,47%,60 of 105,4 of 11,36%,0,0,4:57,23 of 57,17 of 28,1 of 1,27 of 63,8 of 12,6 of 11
1054,Decision - Unanimous,3,15:00,L,Anthony Pettis,0,48 of 131,36%,48 of 131,0 of 3,0%,0,0,0:00,35 of 116,5 of 7,8 of 8,48 of 131,0 of 0,0 of 0,W,Edson Barboza,0,73 of 164,44%,73 of 164,0 of 0,---,0,0,0:00,27 of 101,15 of 26,31 of 37,73 of 163,0 of 1,0 of 0
1055,Decision - Split,3,15:00,L,Anthony Pettis,0,56 of 109,51%,109 of 164,0 of 0,---,0,0,0:00,33 of 79,13 of 20,10 of 10,50 of 97,6 of 12,0 of 0,W,Eddie Alvarez,0,42 of 90,46%,74 of 129,6 of 15,40%,0,0,7:38,20 of 61,12 of 18,10 of 11,36 of 82,3 of 4,3 of 4
1056,Decision - Unanimous,5,25:00,L,Anthony Pettis,0,54 of 162,33%,96 of 205,0 of 1,0%,0,0,0:52,38 of 141,11 of 16,5 of 5,53 of 158,1 of 3,0 of 1,W,Rafael Dos Anjos,0,90 of 171,52%,144 of 233,9 of 10,90%,0,0,14:42,44 of 113,27 of 37,19 of 21,58 of 124,11 of 17,21 of 30
1057,Submission,2,6:53,W,Anthony Pettis,0,30 of 58,51%,43 of 71,0 of 0,---,1,1,0:03,26 of 53,3 of 4,1 of 1,27 of 53,3 of 5,0 of 0,L,Gilbert Melendez,0,27 of 78,34%,59 of 119,1 of 8,12%,0,0,4:21,16 of 62,10 of 14,1 of 2,15 of 60,10 of 16,2 of 2
1058,Submission,1,4:41,W,Anthony Pettis,0,9 of 16,56%,10 of 17,0 of 0,---,1,0,0:00,3 of 9,6 of 7,0 of 0,9 of 16,0 of 0,0 of 0,L,Benson Henderson,0,11 of 16,68%,26 of 37,0 of 3,0%,0,0,3:09,3 of 8,3 of 3,5 of 5,4 of 9,6 of 6,1 of 1
1059,KO/TKO,1,2:35,W,Anthony Pettis,1,18 of 28,64%,18 of 28,0 of 0,---,0,0,0:02,13 of 21,4 of 6,1 of 1,16 of 26,0 of 0,2 of 2,L,Donald Cerrone,0,4 of 12,33%,4 of 12,0 of 0,---,0,0,0:00,2 of 8,1 of 2,1 of 2,4 of 12,0 of 0,0 of 0
1060,KO/TKO,1,1:21,W,Anthony Pettis,1,9 of 20,45%,9 of 20,0 of 0,---,0,0,0:02,8 of 17,0 of 1,1 of 2,6 of 16,0 of 0,3 of 4,L,Joe Lauzon,0,0 of 8,0%,0 of 8,0 of 0,---,0,0,0:00,0 of 8,0 of 0,0 of 0,0 of 8,0 of 0,0 of 0
1061,Decision - Split,3,15:00,W,Anthony Pettis,0,21 of 47,44%,89 of 117,6 of 9,66%,0,0,6:51,9 of 34,1 of 2,11 of 11,16 of 40,5 of 6,0 of 1,L,Jeremy Stephens,0,17 of 47,36%,65 of 96,3 of 8,37%,0,1,3:29,5 of 30,5 of 6,7 of 11,14 of 42,2 of 2,1 of 3
1062,Decision - Unanimous,3,15:00,L,Anthony Pettis,0,14 of 51,27%,42 of 80,0 of 0,---,1,0,0:41,12 of 47,0 of 2,2 of 2,11 of 47,1 of 2,2 of 2,W,Clay Guida,0,19 of 65,29%,63 of 112,5 of 8,62%,0,1,10:17,8 of 54,2 of 2,9 of 9,8 of 40,5 of 6,6 of 19
1063,Decision - Unanimous,5,25:00,W,Anthony Pettis,1,42 of 99,42%,130 of 195,2 of 2,100%,4,2,6:24,24 of 73,10 of 14,8 of 12,24 of 75,10 of 13,8 of 11,L,Benson Henderson,0,38 of 112,33%,97 of 173,3 of 10,30%,2,0,6:37,12 of 71,15 of 23,11 of 18,23 of 88,12 of 18,3 of 6
1064,Submission,3,14:51,W,Anthony Pettis,0,37 of 71,52%,85 of 121,2 of 2,100%,2,1,4:26,24 of 55,6 of 7,7 of 9,23 of 55,8 of 8,6 of 8,L,Shane Roller,0,16 of 54,29%,25 of 63,2 of 11,18%,1,1,4:23,9 of 44,2 of 4,5 of 6,11 of 43,4 of 7,1 of 4
1065,Submission,2,6:35,W,Anthony Pettis,0,16 of 34,47%,26 of 44,0 of 0,---,1,0,0:03,7 of 25,2 of 2,7 of 7,15 of 32,1 of 2,0 of 0,L,Alex Karalexis,0,9 of 28,32%,12 of 31,3 of 7,42%,0,0,2:46,6 of 25,0 of 0,3 of 3,4 of 18,2 of 3,3 of 7
1066,KO/TKO,1,2:17,W,Anthony Pettis,1,4 of 17,23%,5 of 18,0 of 0,---,0,0,0:02,4 of 17,0 of 0,0 of 0,1 of 13,0 of 0,3 of 4,L,Danny Castillo,0,5 of 10,50%,7 of 12,1 of 1,100%,0,0,0:28,0 of 5,0 of 0,5 of 5,2 of 6,3 of 3,0 of 1
1067,Decision - Split,3,15:00,L,Anthony Pettis,1,39 of 97,40%,57 of 116,0 of 0,---,0,0,0:19,33 of 87,1 of 4,5 of 6,30 of 88,4 of 4,5 of 5,W,Bart Palaszewski,0,29 of 56,51%,57 of 90,1 of 8,12%,0,0,6:31,11 of 36,7 of 8,11 of 12,22 of 44,5 of 7,2 of 5
1068,Submission,1,1:49,W,Anthony Pettis,0,1 of 2,50%,1 of 2,0 of 0,---,3,0,0:00,1 of 1,0 of 1,0 of 0,1 of 2,0 of 0,0 of 0,L,Mike Campbell,0,3 of 10,30%,7 of 16,1 of 1,100%,0,0,1:28,2 of 9,1 of 1,0 of 0,1 of 1,0 of 0,2 of 9
1069,Decision - Unanimous,3,15:00,L,Robbie Lawler,0,26 of 45,57%,41 of 62,0 of 1,0%,0,1,1:33,18 of 36,4 of 5,4 of 4,15 of 33,6 of 6,5 of 6,W,Neil Magny,0,62 of 88,70%,116 of 144,4 of 7,57%,0,0,8:14,36 of 61,21 of 22,5 of 5,39 of 63,16 of 18,7 of 7
1070,Decision - Unanimous,5,25:00,L,Robbie Lawler,0,78 of 167,46%,82 of 171,0 of 0,---,0,0,0:00,61 of 144,10 of 16,7 of 7,66 of 152,12 of 15,0 of 0,W,Colby Covington,0,179 of 515,34%,201 of 541,10 of 18,55%,0,0,8:43,128 of 454,20 of 28,31 of 33,154 of 477,25 of 38,0 of 0
1071,Submission,1,3:20,L,Robbie Lawler,0,26 of 29,89%,30 of 33,1 of 1,100%,0,0,0:33,21 of 24,5 of 5,0 of 0,1 of 2,9 of 9,16 of 18,W,Ben Askren,0,0 of 1,0%,3 of 5,1 of 2,50%,1,0,1:59,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
1072,Decision - Unanimous,5,25:00,L,Robbie Lawler,0,86 of 212,40%,137 of 267,0 of 0,---,0,0,4:24,53 of 171,32 of 40,1 of 1,48 of 159,38 of 53,0 of 0,W,Rafael Dos Anjos,0,172 of 291,59%,219 of 343,2 of 7,28%,0,0,7:53,100 of 199,48 of 64,24 of 28,104 of 203,58 of 78,10 of 10
1073,Decision - Unanimous,3,15:00,W,Robbie Lawler,0,77 of 156,49%,85 of 164,0 of 1,0%,0,0,0:21,47 of 116,28 of 37,2 of 3,35 of 101,42 of 55,0 of 0,L,Donald Cerrone,0,82 of 166,49%,99 of 185,1 of 10,10%,0,0,1:34,50 of 127,26 of 32,6 of 7,56 of 125,25 of 40,1 of 1
1074,KO/TKO,1,2:12,L,Robbie Lawler,0,3 of 6,50%,4 of 7,0 of 0,---,0,0,0:00,0 of 1,3 of 5,0 of 0,2 of 5,1 of 1,0 of 0,W,Tyron Woodley,1,8 of 11,72%,8 of 11,0 of 0,---,0,0,0:19,7 of 9,1 of 2,0 of 0,3 of 6,0 of 0,5 of 5
1075,Decision - Split,5,25:00,W,Robbie Lawler,1,92 of 177,51%,93 of 178,0 of 0,---,0,0,0:42,82 of 167,7 of 7,3 of 3,76 of 153,14 of 20,2 of 4,L,Carlos Condit,0,176 of 495,35%,177 of 497,0 of 0,---,0,0,0:10,96 of 372,47 of 79,33 of 44,149 of 447,27 of 48,0 of 0
1076,KO/TKO,5,21:00,W,Robbie Lawler,1,70 of 156,44%,76 of 163,0 of 0,---,0,0,0:11,68 of 149,1 of 6,1 of 1,65 of 144,3 of 9,2 of 3,L,Rory MacDonald,0,86 of 222,38%,87 of 223,0 of 4,0%,0,0,0:02,70 of 189,13 of 29,3 of 4,71 of 200,15 of 22,0 of 0
1077,Decision - Split,5,25:00,W,Robbie Lawler,0,116 of 201,57%,167 of 253,0 of 0,---,0,0,1:02,71 of 148,45 of 52,0 of 1,54 of 128,36 of 45,26 of 28,L,Johny Hendricks,0,111 of 228,48%,145 of 264,5 of 17,29%,1,0,10:20,66 of 176,6 of 10,39 of 42,97 of 206,13 of 20,1 of 2
1078,Decision - Unanimous,5,25:00,W,Robbie Lawler,0,80 of 200,40%,87 of 207,2 of 2,100%,0,0,3:57,64 of 182,13 of 15,3 of 3,68 of 182,7 of 10,5 of 8,L,Matt Brown,0,82 of 242,33%,89 of 250,2 of 8,25%,0,0,1:10,45 of 182,26 of 38,11 of 22,69 of 228,13 of 14,0 of 0
1079,KO/TKO,3,13:06,W,Robbie Lawler,1,68 of 155,43%,72 of 159,0 of 1,0%,0,1,1:10,57 of 141,11 of 14,0 of 0,47 of 122,9 of 14,12 of 19,L,Jake Ellenberger,0,29 of 89,32%,30 of 90,2 of 3,66%,0,0,0:46,22 of 81,5 of 6,2 of 2,19 of 77,8 of 9,2 of 3
1080,Decision - Unanimous,5,25:00,L,Robbie Lawler,0,150 of 331,45%,162 of 343,0 of 0,---,0,0,0:00,141 of 320,5 of 6,4 of 5,146 of 321,4 of 10,0 of 0,W,Johny Hendricks,0,158 of 397,39%,186 of 426,2 of 10,20%,0,0,4:08,111 of 343,6 of 9,41 of 45,138 of 369,18 of 26,2 of 2
1081,Decision - Split,3,15:00,W,Robbie Lawler,1,44 of 102,43%,65 of 126,0 of 0,---,0,1,2:21,25 of 75,5 of 9,14 of 18,32 of 77,3 of 7,9 of 18,L,Rory MacDonald,0,37 of 107,34%,41 of 111,4 of 6,66%,1,0,3:05,21 of 76,15 of 30,1 of 1,28 of 84,1 of 3,8 of 20
1082,KO/TKO,2,5:24,W,Robbie Lawler,1,28 of 46,60%,32 of 51,1 of 1,100%,0,0,1:13,22 of 39,5 of 6,1 of 1,21 of 37,6 of 7,1 of 2,L,Bobby Voelker,0,10 of 42,23%,11 of 44,0 of 0,---,0,0,0:00,6 of 35,2 of 3,2 of 4,9 of 40,1 of 2,0 of 0
